Name,DoB,Tag number,Worked harder
Eigg,2023-12-11,1,
Skye,2023-12-11,15,
Islay,2023-12-11,2,
Tiree,2023-12-11,9,
Rhum,2023-12-11,8,
Muck,2023-12-11,3,true
Mull,2023-12-11,5,true
Iona,2023-12-11,14,true
Coll,2023-12-11,4,true
Twiglet,2022-09-19,13,
Eyes,2022-09-19,11,
Noggin,2025-03-15,12,
Bracket,2025-03-15,7,
Soffit,2025-03-15,10,
Lintel,2025-03-15,6,
